"Family","Subfamily","Genus","Species","Sex","Anterior.process","Anterior.process","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Chelicerae","Chelicerae","Chelicerae","Opisthosoma","Opisthosoma","Opisthosoma","Opisthosoma","Spermathecae.(female)","Spermathecae.(female)","Flagellum","Flagellum","Size","Size","Legs","Legs","Legs","Legs","Legs","Ecology","Distribution","Distribution","Distribution","References"
"Family","Subfamily","Genus","Species","Sex","Setation","Setation (base)","Dorsal setation","State of vision","State of metapeltidium","Dimorphism","Mesal spur (trochanter)","Apical process (trochanter)","Claw/tarsus ratio (min)","Claw/tarsus ratio (max)","Guard tooth (movable finger)","Accessory tooth (movable finger)","Small teeth (fixed finger)","Setation (tergite II)","Elongation","Tergite XII: posterodorsal process","Tergite XII: posterodorsal process (shape)","Number of lobes","State of gonopod","Number of flagellomeres (female)","Dorsal shape (male)","Total body length (min)","Total body length (max)","Leg I/total body length ratio (min)","Leg I/total body length ratio (max)","Anterodorsal margin (leg IV)","Leg IV, femur: length/width ratio (min)","Leg IV, femur: length/width ratio (max)","Habitat","Type locality (country)","Region","Unit","References"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus pachypalpus","male","1+1","Pair","2 pairs","Absent","Divided","Absent","Absent","Absent","0.8","0.8","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Circular","4.26","4.26","0.99","0.99","< 90°","3","3","Epigean","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979a; Cokendolpher & Reddell 1992, Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus purificacion","female","1+1","Pair","2 pairs","Absent","Divided","No data","Absent","Absent","0.9","1","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","5 flagellomeres",NA,"5.26","6.36","1.1200000000000001","1.28","< 90°","3.5","3.7","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus purificacion","male","1+1","Pair","2 pairs","Absent","Divided","No data","Absent","No data","No data","No data","Absent","Absent","No data","2 setae","Absent","Absent","Absent",NA,NA,NA,"No data","No data","No data","No data","No data","< 90°","No data","No data","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus rowlandi","female","1+1","Pair","4 pairs","Absent","Divided","Absent","Absent","Absent","0.8","0.8","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","5 flagellomeres",NA,"4.2","4.2","0.85","0.85","< 90°","3","3","Epigean","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Rowland 1975; Reddell & Cokendolpher 1995; Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus rowlandi","male","1+1","Pair","4 pairs","Absent","Divided","Absent","Absent","Absent","0.7","0.7","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","4.6399999999999997","5","0.85","0.92","< 90°","3.25","3.25","Epigean","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Rowland 1975; Reddell & Cokendolpher 1995; Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus sprousei","female","1+1","Pair","2 pairs","Absent","Divided","Absent","Absent","Absent","No data","No data","Absent","Absent","Absent","2 setae","Absent","Absent","Absent","1 pair","Absent","5 flagellomeres",NA,"8.26","8.26","1.22","1.22","< 90°","3.8","3.8","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Protoschizomidae",NA,"Protoschizomus","Protoschizomus sprousei","male","1+1","Pair","2 pairs","Absent","Divided","Absent","Absent","Absent","1","1","Absent","Absent","Absent","2 setae","Absent","Absent","Absent",NA,NA,NA,"Oblong","6.12","6.12","1.52","1.52","< 90°","4.5","4.5","Strict troglobite","Mexico","Mexico","New World","Cokendolpher & Reddell 1992; ﻿Monjaraz-Ruedas, Francke & Santibáñez-López 2017"
"Hubbardiidae","Megaschizominae","Megaschizomus","Megaschizomus mossambicus","female","8-9 setae in a row","Pair","4 or 5 pairs","Absent","Entire","Sexual dimorphism","Present","Absent","No data","No data","Present","6 or 7 accessory teeth","1 small tooth","2 setae","No data","Absent","Absent","1 pair","Present","6 flagellomeres",NA,"7","8","1","1.1399999999999999","< 90°","3","4.0999999999999996","Epigean","Mozambique","Eastern Africa","Old World","Lawrence 1958; Lawrence 1969; Reddell & Cokendolpher 1995"
"Hubbardiidae","Megaschizominae","Megaschizomus","Megaschizomus mossambicus","male","8-9 setae in a row","Pair","4 or 5 pairs","Absent","Entire","Sexual dimorphism","Present","Weakly","0.4","0.5","Present","6 or 7 accessory teeth","1 small tooth","2 setae","No data","Absent","Absent",NA,NA,NA,"No data","6.5","7.5","1.47","1.69","< 90°","3","4.0999999999999996","Epigean","Mozambique","Eastern Africa","Old World","Lawrence 1958; Lawrence 1969; Reddell & Cokendolpher 1995"
"Hubbardiidae","Megaschizominae","Megaschizomus","Megaschizomus zuluanus","female","No data","No data","No data","Absent","Entire","No data","No data","Weakly","0.5","0.6","No data","No data","Absent","No data","No data","Absent","Absent","No data","No data","No data",NA,"6","6","0.95","0.95","< 90°","No data","No data","Epigean","South Africa","Southern Africa","Old World","Lawrence 1947; Lawrence 1969; Reddell & Cokendolpher 1995"
