"Family","Subfamily","Genus","Species","Sex","Anterior.process","Anterior.process","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Propeltidium.+.Metapeltidium","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Pedipalps","Chelicerae","Chelicerae","Chelicerae","Opisthosoma","Opisthosoma","Opisthosoma","Opisthosoma","Spermathecae.(female)","Spermathecae.(female)","Flagellum","Flagellum","Size","Size","Legs","Legs","Legs","Legs","Legs","Ecology","Distribution","Distribution","Distribution","References"
"Family","Subfamily","Genus","Species","Sex","Setation","Setation (base)","Dorsal setation","State of vision","State of metapeltidium","Dimorphism","Mesal spur (trochanter)","Apical process (trochanter)","Claw/tarsus ratio (min)","Claw/tarsus ratio (max)","Guard tooth (movable finger)","Accessory tooth (movable finger)","Small teeth (fixed finger)","Setation (tergite II)","Elongation","Tergite XII: posterodorsal process","Tergite XII: posterodorsal process (shape)","Number of lobes","State of gonopod","Number of flagellomeres (female)","Dorsal shape (male)","Total body length (min)","Total body length (max)","Leg I/total body length ratio (min)","Leg I/total body length ratio (max)","Anterodorsal margin (leg IV)","Leg IV, femur: length/width ratio (min)","Leg IV, femur: length/width ratio (max)","Habitat","Type locality (country)","Region","Unit","References"
"Hubbardiidae","Hubbardiinae","Olmecazomus","Olmecazomus brujo","male","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Strongly","0.54","0.54","Present","Absent","4 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Rhomboidal","4.4800000000000004","4.96","1.33","1.5","~ 90°","2.5","2.5","Epigean","Mexico","Mexico","New World","Monjaraz-Ruedas & Francke 2017; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Olmecazomus","Olmecazomus cruzlopezi","female","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Absent","No data","No data","Present","Absent","3 small teeth","2 setae","No data","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"5","5.2","1.02","1.05","~ 90°","No data","No data","Epigean","Mexico","Mexico","New World","Monjaraz-Ruedas & Francke 2017; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Olmecazomus","Olmecazomus cruzlopezi","male","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Strongly","0.56000000000000005","0.56000000000000005","Present","Absent","4 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Rhomboidal - triangular","4.16","5.6","1.28","1.53","~ 90°","2.4","2.4","Epigean","Mexico","Mexico","New World","Monjaraz-Ruedas & Francke 2017; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Olmecazomus","Olmecazomus santibanezi","female","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Absent","No data","No data","Present","Absent","4 small teeth","2 setae","No data","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.96","5.2","1.1599999999999999","1.25","~ 90°","No data","No data","Epigean","Mexico","Mexico","New World","Monjaraz-Ruedas & Francke 2017; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Olmecazomus","Olmecazomus santibanezi","male","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Strongly","0.5","0.5","Present","Absent","4 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Rhomboidal - triangular","4.5599999999999996","4.88","1.42","1.44","~ 90°","2.4","2.4","Epigean","Mexico","Mexico","New World","Monjaraz-Ruedas & Francke 2017; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Orientzomus","Orientzomus luzonicus","female","No data","Absent","No data","Eyespots","Divided","No data","No data","No data","No data","No data","No data","No data","No data","No data","Absent","Absent","Absent","No data","No data","3 flagellomeres",NA,"4","4","No data","No data","~ 90°","2.25","2.25","No data","Marshall Islands","Micronesia","Old World","Hansen in Hansen & Sørensen 1905"
"Hubbardiidae","Hubbardiinae","Orientzomus","Orientzomus luzonicus","male","No data","Absent","No data","Eyespots","Divided","No data","No data","Strongly","0.5","0.5","No data","No data","No data","No data","Absent","Absent","Absent",NA,NA,NA,"Circular","4","4","No data","No data","~ 90°","2.75","2.75","No data","Marshall Islands","Micronesia","Old World","Hansen in Hansen & Sørensen 1905"
"Hubbardiidae","Hubbardiinae","Orientzomus","Orientzomus ralik","female","2+1","Absent","4 pairs","Eyespots","Divided","No data","Present","Strongly","No data","No data","Present","1 accessory tooth","4 or 5 small teeth","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"3.52","3.52","1.32","1.32","~ 90°","2.2999999999999998","2.2999999999999998","No data","Philippines","Southeast Asia","Old World","Cokendolpher & Reddell 2000b"
"Hubbardiidae","Hubbardiinae","Orientzomus","Orientzomus sawadai","female","2+1","Absent","4 pairs","Eyespots","Divided","Sexual dimorphism","Present","Weakly","No data","No data","Present","Absent","No data","2 setae","Absent","Absent","Absent","3 to 5 pairs","Present","3 flagellomeres",NA,"4.63","5","0.93","0.93","~ 90°","No data","No data","Epigean","Japan","Eastern Asia","Old World","Kishida 1930 [in japanese]; Sekiguchi & Yamasaki 1972; Cokendolpher 1988; Cokendolpher & Tsurusaki 1994; Clouse et al. 2017"
"Hubbardiidae","Hubbardiinae","Orientzomus","Orientzomus sawadai","male","2+1","Absent","4 pairs","Eyespots","Divided","Sexual dimorphism","Present","Strongly","No data","No data","Present","Absent","4 or 5 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Circular","4.5","5.0999999999999996","1.53","1.53","~ 90°","No data","No data","Epigean","Japan","Eastern Asia","Old World","Kishida 1930 [in japanese]; Sekiguchi & Yamasaki 1972; Cokendolpher 1988; Cokendolpher & Tsurusaki 1994; Clouse et al. 2017"
"Hubbardiidae","Hubbardiinae","Ovozomus","Ovozomus lunatus","female","2+1","Absent","4 pairs","Absent or eyespots","Divided","No data","Present","Strongly","0.5","0.5","Present","Absent","5 small teeth","2 setae","No data","Absent","Absent","3 to 5 pairs","Present","4 flagellomeres",NA,"4","4.3","1.03","1.03","~ 90°","2.54","2.54","Troglophile","India","Southern Asia","Old World","Gravely 1911b; Harvey 2011"
"Hubbardiidae","Hubbardiinae","Ovozomus","Ovozomus lunatus","male","2+1","Absent","4 pairs","Absent or eyespots","Divided","No data","Present","Strongly","0.4","0.5","Present","Absent","3 small teeth","2 setae","Absent","Small","No data",NA,NA,NA,"No data","5.51","5.51","No data","No data","~ 90°","2.65","2.65","Troglophile","India","Southern Asia","Old World","Gravely 1911b; Harvey 2011"
"Hubbardiidae","Hubbardiinae","Ovozomus","Ovozomus peradeniyensis","female","2+1","Absent","4 pairs","Eyespots","Divided","No data","Present","Absent","No data","No data","No data","No data","No data","2 setae","Absent","Absent","Absent","2 pairs","Absent","No data",NA,"4.03","4.03","No data","No data","No data","2.87","2.87","Epigean","Sri Lanka","Southern Asia","Old World","Gravely 1911b; Harvey 2011"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal lacandonus","female","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","No data","No data","No data","Present","No data","No data","2 setae","Absent","Absent","Absent","1 pair","Present","3 flagellomeres",NA,"No data","No data","No data","No data","~ 90°","No data","No data","Epigean","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979b; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal lacandonus","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","Strongly","0.5","0.5","Present","No data","No data","2 setae","Absent","Small","No data",NA,NA,NA,"Rhomboidal","4.5","4.5","1.64","1.64","~ 90°","No data","No data","Epigean","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979b; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal moisii","female","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","No data","No data","No data","Present","No data","No data","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.5999999999999996","4.5999999999999996","1.01","1.01","~ 90°","No data","No data","Troglophile or epigean","Mexico","Mexico","New World","Rowland 1973c; Rowland & Reddell 1980; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal moisii","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","Weakly","No data","No data","Present","No data","No data","2 setae","Absent","Small","No data",NA,NA,NA,"Rhomboidal","4.0999999999999996","4.0999999999999996","1.37","1.37","~ 90°","No data","No data","Troglophile or epigean","Mexico","Mexico","New World","Rowland 1973c; Rowland & Reddell 1980; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal stewarti","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","Weakly","0.5","0.5","Present","No data","No data","2 setae","Absent","Small","No data",NA,NA,NA,"Rhomboidal","3.5","3.5","No data","No data","~ 90°","No data","No data","Troglophile or epigean","Mexico","Mexico","New World","Rowland 1973c; Rowland & Reddell 1980; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal tepezcuintle","female","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","Weakly","No data","No data","Present","Absent","No data","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"2.8","3.55","1.26","1.7","~ 90°","2.21","2.4","Troglophile or epigean","Mexico","Mexico","New World","Armas & Cruz-López 2009 [in spanish]; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal tepezcuintle","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","No data","No data","No data","Present","Absent","No data","2 setae","Absent","Absent","No data",NA,NA,NA,"Rhomboidal - triangular","2.5499999999999998","2.5499999999999998","1.84","1.84","~ 90°","2.17","2.17","Epigean","Mexico","Mexico","New World","Armas & Cruz-López 2009 [in spanish]; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal trilobatus","female","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","No data","No data","No data","Present","No data","No data","2 setae","Absent","Absent","Absent","1 pair","Absent","3 flagellomeres",NA,"3.7","3.7","1.1299999999999999","1.1299999999999999","~ 90°","No data","No data","Troglophile","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979b; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Pacal","Pacal trilobatus","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","Weakly","0.5","0.5","Present","No data","No data","2 setae","Absent","Small","No data",NA,NA,NA,"Trilobate","4.0999999999999996","4.0999999999999996","1.55","1.55","~ 90°","No data","No data","Troglophile","Mexico","Mexico","New World","Rowland 1975; Rowland & Reddell 1979b; Monjaraz-Ruedas, Prendini & Francke 2019"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa bacata","female","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Weakly","No data","No data","Present","Absent","5 small teeth","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"4.55","4.55","0.98","0.98","~ 90°","No data","No data","Epigean","Colombia","South America","New World","Moreno-González, Delgado-Santa & Armas 2014"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa bacata","male","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Weakly","0.5","0.6","Present","Absent","5 small teeth","2 setae","Tergite (I)X-XI(I) elongated","Absent","Absent",NA,NA,NA,"Lanceolate","3.7","4.3499999999999996","1.1299999999999999","1.46","~ 90°","No data","No data","Epigean","Colombia","South America","New World","Moreno-González, Delgado-Santa & Armas 2014"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa bijagua","female","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Weakly","No data","No data","Present","Absent","No data","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"3.5","4.2","1.03","1.1399999999999999","~ 90°","2.3199999999999998","2.5499999999999998","Epigean","Costa Rica","Central America","New World","Armas & Víquez 2009 [in spanish]; Armas & Víquez 2010 [in spanish]"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa bijagua","male","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Weakly","No data","No data","Present","Absent","4 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Lanceolate - triangular","2.7","2.7","1.41","1.41","~ 90°","2.1800000000000002","2.1800000000000002","Epigean","Costa Rica","Central America","New World","Armas & Víquez 2009 [in spanish]; Armas & Víquez 2010 [in spanish]"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa escalerete","female","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","No data","No data","No data","Present","3 accessory teeth","5 small teeth","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"2.7","3.86","0.93","1.1399999999999999","~ 90°","No data","No data","Epigean","Colombia","South America","New World","Moreno-González, Delgado-Santa & Armas 2014"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa escalerete","male","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Weakly","0.5","0.6","Present","2 accessory teeth","5 small teeth","2 setae","Tergite (I)X-XI(I) elongated","Absent","Absent",NA,NA,NA,"Lanceolate","2.4300000000000002","3.86","1.03","1.28","~ 90°","No data","No data","Epigean","Colombia","South America","New World","Moreno-González, Delgado-Santa & Armas 2014"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa guipongai","female","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","No data","0.38","0.38","Present","3 accessory teeth","No data","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"3.51","3.51","1.42","1.42","~ 90°","No data","No data","Epigean","Colombia","South America","New World","Manzanilla & García 2012; Manzanilla, Armas & García 2014"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa guipongai","male","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Strongly","0.57999999999999996","0.57999999999999996","Present","3 accessory teeth","3 to 5 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Lanceolate","3.53","3.53","1.82","1.82","~ 90°","No data","No data","Epigean","Colombia","South America","New World","Manzanilla & García 2012; Manzanilla, Armas & García 2014"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa hoyosi","male","1+1","Absent","2 pairs","Eyespots","Entire","No data","Present","Weakly","No data","No data","Present","3 accessory teeth","6 small teeth","2 setae","Tergite (I)X-XI(I) elongated","Absent","Absent",NA,NA,NA,"Lanceolate","3.62","3.62","1.58","1.58","~ 90°","2.2599999999999998","2.2599999999999998","Epigean","Colombia","South America","New World","Delgado-Santa & Armas 2013 [in spanish]"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa pioi","male","1+1","Absent","2 pairs","Eyespots","Entire","No data","Present","Weakly","0.31","0.31","Present","No data","No data","2 setae","Tergite (I)X-XI(I) elongated","Absent","Absent",NA,NA,NA,"Lanceolate","4.42","4.42","1.51","1.51","~ 90°","2.2200000000000002","2.2200000000000002","Epigean","Venezuela","South America","New World","Manzanilla, Armas & García 2014 [in spanish]"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa turbacoensis","female","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Weakly","0.3","0.47","Present","Absent","No data","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"2.64","3.06","1.08","1.27","No data","No data","No data","Epigean","Colombia","South America","New World","Segovia-Paccini, Ahumada & Moreno-González 2018"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa turbacoensis","male","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Weakly","0.2","0.71","Present","Absent","6 small teeth","2 setae","Tergite (I)X-XI(I) elongated","Absent","Absent",NA,NA,NA,"Oblong","2.4","3.7","0.84","1.68","No data","No data","No data","Epigean","Colombia","South America","New World","Segovia-Paccini, Ahumada & Moreno-González 2018"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa villarreali","female","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","No data","No data","No data","Present","3 accessory teeth","No data","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"3.77","3.77","1.05","1.05","~ 90°","2.2200000000000002","2.2200000000000002","Epigean","Colombia","South America","New World","Armas & Delgado-Santa 2012b [in spanish]"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa villarreali","male","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism","Present","Strongly","No data","No data","Present","3 accessory teeth","4 small teeth","2 setae","Absent","Absent","Absent",NA,NA,NA,"Lanceolate - triangular","3.79","3.85","1.42","1.5","~ 90°","2.1800000000000002","2.2400000000000002","Epigean","Colombia","South America","New World","Armas & Delgado-Santa 2012b [in spanish]"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa virichaj","female","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Strongly","No data","No data","Present","3 accessory teeth","No data","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"4.92","4.92","1.28","1.28","~ 90°","No data","No data","Epigean","Venezuela","South America","New World","Manzanilla, Giupponi & Tourinho 2008"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa virichaj","male","1+1","Absent","2 pairs","Eyespots","Entire","Absent","Present","Strongly","0.41","0.41","Present","3 accessory teeth","4 small teeth","2 setae","Tergite (I)X-XI(I) elongated","Absent","Absent",NA,NA,NA,"Lanceolate","5.56","5.56","1.35","1.35","~ 90°","3","3","Epigean","Venezuela","South America","New World","Manzanilla, Giupponi & Tourinho 2008"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa youngi","female","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","No data","No data","No data","Present","Absent","No data","2 setae","Absent","Absent","Absent","1 pair","Absent","4 flagellomeres",NA,"3.32","3.6","1.0900000000000001","1.17","~ 90°","2","2.33","Epigean","Costa Rica","Central America","New World","Armas & Víquez 2010 [in spanish]"
"Hubbardiidae","Hubbardiinae","Piaroa","Piaroa youngi","male","1+1","Absent","3 pairs","Eyespots","Entire","Absent","Present","Strongly","No data","No data","Present","Absent","4 small teeth","2 setae","Absent","Small","Rounded",NA,NA,NA,"Lanceolate - triangular","3.28","3.32","1.29","1.29","~ 90°","2.36","2.67","Epigean","Costa Rica","Central America","New World","Armas & Víquez 2010 [in spanish]"
"Hubbardiidae","Hubbardiinae","Pinero","Pinero marmoreus","female","1+1","Absent","2 or 3 pairs","Absent or eyespots","Entire","Sexual dimorphism + heteromorphism ","Present","No data","No data","No data","Present","Absent","No data","4 setae","Absent","Absent","Absent","2 pairs","Absent","3 flagellomeres",NA,"3.45","3.45","1.01","1.01","~ 90°","2.72","2.72","Epigean","Cuba","Caribbean","New World","Teruel 2018; Armas 2018 [in spanish]"
"Hubbardiidae","Hubbardiinae","Pinero","Pinero marmoreus","male","1+1","Absent","2 or 3 pairs","Absent or eyespots","Entire","Sexual dimorphism + heteromorphism ","Present","No data; absent","0.36","0.36","Present","Absent","No data","4 setae","Absent","Well-developed","Acute",NA,NA,NA,"Triangular","3.05","3.38","1.41","1.41","~ 90°","2.35","2.35","Epigean","Cuba","Caribbean","New World","Teruel 2018; Armas 2018 [in spanish]"
"Hubbardiidae","Hubbardiinae","Reddellzomus","Reddellzomus cubensis","female","1+1","Absent","2 pairs","Absent","Entire","Absent","Present","No data","No data","No data","Present","Absent","No data","2 setae","Absent","Absent","Absent","2 pairs","Present","3 flagellomeres",NA,"4.42","4.95","1.39","1.5","< 90°","2.85","3","Strict troglobite","Cuba","Caribbean","New World","Armas 2002a [in spanish]; Teruel 2007 [in spanish]"
"Hubbardiidae","Hubbardiinae","Reddellzomus","Reddellzomus cubensis","male","1+1","Absent","2 pairs","Absent","Entire","Absent","Present","Strongly","No data","No data","Present","Absent","No data","2 setae","Tergite (I)X-XI(I) elongated","Absent","Absent",NA,NA,NA,"Oblong","5.0199999999999996","5.0999999999999996","1.46","1.64","< 90°","3.08","3.31","Strict troglobite","Cuba","Caribbean","New World","Armas 2002a [in spanish]; Teruel 2007 [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","†Rowlandius velteni","male","1+1","Absent","No data","Absent","No data","No data","No data","Absent","0.6","0.6","No data","No data","No data","No data","Absent","Absent","Absent",NA,NA,NA,"Triangular - arrow-shaped","2.5","2.5","No data","No data","~ 90°","1.5","1.5","No data","Cuba","Caribbean","New World","Krüger & Dunlop;  Armas & Teruel 2011"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius abeli","female","1+1","Absent","3 pairs","Eyespots","Entire","Sexual dimorphism + heteromorphism + mesomorphism ","Present or absent","No data","No data","No data","No data","No data","No data","2 setae","No data","Absent","Absent","2 pairs","Present","4 flagellomeres",NA,"3.5","3.5","1.0900000000000001","2.09","~ 90°","2.29","2.29","Troglophile","Cuba","Caribbean","New World","Armas 2002b [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius abeli","male","1+1","Absent","3 pairs","Eyespots","Entire","Sexual dimorphism + heteromorphism + mesomorphism ","Present or absent","No data; weakly","No data","No data","No data","No data","No data","2 setae","No data","Small","Rounded",NA,NA,NA,"Rhomboidal - triangular","3.1","3.4","1.25","1.26","~ 90°","2.14","2.41","Troglophile","Cuba","Caribbean","New World","Armas 2002b [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius alayoni","female","1+1","Absent","3 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","No data","Weakly","No data","No data","No data","No data","No data","2 setae","Absent","Absent","Absent","2 pairs","Present","4 flagellomeres",NA,"3.1","3.4","No data","No data","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Armas 1989 [in spanish]; Rowland & Reddell 1979a"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius alayoni","male","1+1","Absent","3 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","No data","Very strongly; very strongly","0.33","0.33","No data","No data","No data","2 setae","Absent","Small","Rounded",NA,NA,NA,"Rhomboidal - triangular","2.75","3.43","No data","No data","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Armas 1989 [in spanish]; Rowland & Reddell 1979a"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius anasilviae","female","1+1","Absent","2 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","No data","No data","No data","No data","No data","No data","No data","2 setae","No data","Absent","Absent","2 pairs","Present","No data",NA,"3.05","3.05","No data","No data","~ 90°","No data","No data","Epigean","Dominican Republic","Caribbean","New World","Armas & Abud Antun 1990 [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius anasilviae","male","1+1","Absent","2 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","No data","No data; absent","No data","No data","No data","No data","No data","2 setae","No data","Small","Truncate",NA,NA,NA,"Rhomboidal","2.8","2.8","No data","No data","~ 90°","No data","No data","Epigean","Dominican Republic","Caribbean","New World","Armas & Abud Antun 1990 [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius arduus","female","1+1","Absent","2 pairs","Eyespots","Entire","No data","Present or absent","Absent","No data","No data","Present","1 accessory tooth","No data","2 setae","No data","Absent","Absent","2 pairs","Present","4 flagellomeres",NA,"3.75","3.85","1.06","1.06","~ 90°","2.12","2.3199999999999998","Epigean","Venezuela","South America","New World","Armas, Manzanilla & Colmenares-García 2009; Armas 2010a [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius arduus","male","1+1","Absent","2 pairs","Eyespots","Entire","No data","Present or absent","Absent","No data","No data","Present","1 accessory tooth","No data","2 setae","Absent","Absent","Absent",NA,NA,NA,"Rhomboidal - triangular","3.8","3.9","1.0900000000000001","1.0900000000000001","~ 90°","2.21","2.2200000000000002","Epigean","Venezuela","South America","New World","Armas, Manzanilla & Colmenares-García 2009; Armas 2010a [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius baracoae","female","1+1","Absent","3 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","No data","No data","No data","No data","No data","No data","No data","2 setae","No data","Absent","Absent","2 pairs","Present","4 flagellomeres",NA,"3.62","3.88","No data","No data","~ 90°","No data","No data","Troglophile","Cuba","Caribbean","New World","Armas 1989 [in spanish]; Armas 2002b [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius baracoae","male","1+1","Absent","3 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","No data","No data; weakly","No data","No data","No data","No data","No data","2 setae","No data","Well-developed","Truncate",NA,NA,NA,"Triangular","2.92","3.6","No data","No data","~ 90°","No data","No data","Troglophile","Cuba","Caribbean","New World","Armas 1989 [in spanish]; Armas 2002b [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius biconourus","female","1+1","Absent","3 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","Present","Very strongly","No data","No data","No data","No data","No data","2 setae","Absent","No data","No data","2 pairs","Present","4 flagellomeres",NA,"No data","No data","No data","No data","~ 90°","No data","No data","No data","Cuba","Caribbean","New World","Rowland & Reddell 1979a"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius biconourus","male","1+1","Absent","3 pairs","Eyespots","No data","Sexual dimorphism + heteromorphism ","Present","No data; very strongly","0.33","0.33","No data","No data","No data","2 setae","Absent","Well-developed","Conical",NA,NA,NA,"Rhomboidal - triangular","No data","No data","No data","No data","~ 90°","No data","No data","No data","Cuba","Caribbean","New World","Rowland & Reddell 1979a"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius candidae","female","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism + heteromorphism ","Present","No data","0.27","0.5","No data","No data","No data","2 setae","No data","Absent","Absent","2 pairs","Present","4 flagellomeres",NA,"3.29","3.53","No data","No data","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Teruel, Armas & Rodríguez 2012 [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius candidae","male","1+1","Absent","2 pairs","Eyespots","Entire","Sexual dimorphism + heteromorphism ","Present","No data; very strongly","0.32","0.32","No data","No data","No data","2 setae","Absent","Well-developed","Rounded",NA,NA,NA,"Circular - triangular","3.11","3.11","No data","No data","~ 90°","No data","No data","Epigean","Cuba","Caribbean","New World","Teruel, Armas & Rodríguez 2012 [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius casabito","female","1+1","Absent","3 pairs","Eyespots","Entire","Sexual dimorphism + heteromorphism ","No data","No data","No data","No data","No data","No data","No data","2 setae","No data","Absent","Absent","2 pairs","Present","No data",NA,"4","4","No data","No data","~ 90°","2.2200000000000002","2.2200000000000002","Epigean","Dominican Republic","Caribbean","New World","Armas & Abud Antun 1990 [in spanish]; Reddell & Cokendolpher 1995; Armas & Cokendolpher 2001; Armas 2004a [in spanish]"
"Hubbardiidae","Hubbardiinae","Rowlandius","Rowlandius casabito","male","1+1","Absent","3 pairs","Eyespots","Entire","Sexual dimorphism + heteromorphism ","No data","Weakly; no data","No data","No data","No data","No data","No data","2 setae","No data","Small","Rounded",NA,NA,NA,"Rhomboidal - triangular","2.9","2.9","No data","No data","~ 90°","2.14","2.14","Epigean","Dominican Republic","Caribbean","New World","Armas & Abud Antun 1990 [in spanish]; Reddell & Cokendolpher 1995; Armas & Cokendolpher 2001; Armas 2004a [in spanish]"
